Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 31 of 50 | Duration = 2.738 | MSE = 1276.0223
Iteration 32 of 50 | Duration = 2.688 | MSE = 1274.8034
Iteration 33 of 50 | Duration = 2.677 | MSE = 1274.2540
Iteration 34 of 50 | Duration = 2.547 | MSE = 1273.5323
Iteration 35 of 50 | Duration = 2.558 | MSE = 1272.8783
Iteration 36 of 50 | Duration = 2.549 | MSE = 1272.3286
Iteration 37 of 50 | Duration = 2.592 | MSE = 1272.0380
New optimal MSE: 1272.0380

Running polya filter for radius = 1, bins = 32, delta = 200.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.354 | MSE = 1808.3350
Iteration 2 of 50 | Duration = 3.369 | MSE = 1687.6679
Iteration 3 of 50 | Duration = 2.638 | MSE = 1512.8784
Iteration 4 of 50 | Duration = 2.810 | MSE = 1491.2453
Iteration 5 of 50 | Duration = 2.904 | MSE = 1463.1821
Iteration 6 of 50 | Duration = 2.870 | MSE = 1429.4597
Iteration 7 of 50 | Duration = 2.710 | MSE = 1390.0265
Iteration 8 of 50 | Duration = 2.725 | MSE = 1384.2223
Iteration 9 of 50 | Duration = 2.604 | MSE = 1379.5209
Iteration 10 of 50 | Duration = 2.627 | MSE = 1376.1435
Iteration 11 of 50 | Duration = 2.633 | MSE = 1366.6480
Iteration 12 of 50 | Duration = 2.629 | MSE = 1360.1251
Iteration 13 of 50 | Duration = 2.631 | MSE = 1351.2168
Iteration 14 of 50 | Duration = 2.678 | MSE = 1338.8635
Iteration 15 of 50 | Duration = 2.557 | MSE = 1320.9522
Iteration 16 of 50 | Duration = 2.672 | MSE = 1318.7803
Iteration 17 of 50 | Duration = 2.693 | MSE = 1317.0415
Iteration 18 of 50 | Duration = 2.714 | MSE = 1315.3781
Iteration 19 of 50 | Duration = 2.756 | MSE = 1313.6648
Iteration 20 of 50 | Duration = 2.738 | MSE = 1312.8494
Iteration 21 of 50 | Duration = 2.607 | MSE = 1312.0365
Iteration 22 of 50 | Duration = 2.600 | MSE = 1310.7610
Iteration 23 of 50 | Duration = 2.573 | MSE = 1306.6856
Iteration 24 of 50 | Duration = 2.581 | MSE = 1303.7160
Iteration 25 of 50 | Duration = 2.554 | MSE = 1302.6104
Iteration 26 of 50 | Duration = 2.619 | MSE = 1301.1254
Iteration 27 of 50 | Duration = 2.646 | MSE = 1298.1134
Iteration 28 of 50 | Duration = 2.559 | MSE = 1295.3332
Iteration 29 of 50 | Duration = 2.712 | MSE = 1291.9356
Iteration 30 of 50 | Duration = 2.686 | MSE = 1285.4936
