Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Iteration 8 of 50 | Duration = 4.615 | MSE = 790.0551
Iteration 9 of 50 | Duration = 4.838 | MSE = 783.7593
Iteration 10 of 50 | Duration = 4.893 | MSE = 778.0064
Iteration 11 of 50 | Duration = 4.521 | MSE = 773.1413
Iteration 12 of 50 | Duration = 4.454 | MSE = 769.2147
Iteration 13 of 50 | Duration = 4.497 | MSE = 764.8280
Iteration 14 of 50 | Duration = 4.326 | MSE = 761.5304
Iteration 15 of 50 | Duration = 4.589 | MSE = 759.4245
Iteration 16 of 50 | Duration = 4.849 | MSE = 757.9840
Iteration 17 of 50 | Duration = 5.023 | MSE = 756.7695
Iteration 18 of 50 | Duration = 4.923 | MSE = 755.7650
Iteration 19 of 50 | Duration = 4.471 | MSE = 754.8910
Iteration 20 of 50 | Duration = 4.611 | MSE = 754.1376
Iteration 21 of 50 | Duration = 4.123 | MSE = 753.2322
Iteration 22 of 50 | Duration = 4.507 | MSE = 752.3957
Iteration 23 of 50 | Duration = 4.762 | MSE = 751.6609
Iteration 24 of 50 | Duration = 5.317 | MSE = 751.2198

Running polya filter for radius = 1, bins = 64, delta = 120.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.907 | MSE = 1275.3461
Iteration 2 of 50 | Duration = 5.726 | MSE = 987.6604
Iteration 3 of 50 | Duration = 5.016 | MSE = 833.1906
Iteration 4 of 50 | Duration = 4.907 | MSE = 806.6324
Iteration 5 of 50 | Duration = 4.341 | MSE = 780.5806
Iteration 6 of 50 | Duration = 4.692 | MSE = 762.3102
Iteration 7 of 50 | Duration = 4.659 | MSE = 748.6553
Iteration 8 of 50 | Duration = 5.458 | MSE = 742.0679
Iteration 9 of 50 | Duration = 5.197 | MSE = 736.0060
Iteration 10 of 50 | Duration = 4.232 | MSE = 731.4372
Iteration 11 of 50 | Duration = 4.229 | MSE = 727.1063
Iteration 12 of 50 | Duration = 4.293 | MSE = 725.2375
Iteration 13 of 50 | Duration = 5.091 | MSE = 723.0270
Iteration 14 of 50 | Duration = 5.155 | MSE = 720.5739
Iteration 15 of 50 | Duration = 4.706 | MSE = 718.3051
Iteration 16 of 50 | Duration = 4.161 | MSE = 717.5676
Iteration 17 of 50 | Duration = 4.183 | MSE = 716.6921
Iteration 18 of 50 | Duration = 4.508 | MSE = 715.7799
Iteration 19 of 50 | Duration = 4.751 | MSE = 714.9993
Iteration 20 of 50 | Duration = 4.324 | MSE = 714.5846
New optimal MSE: 714.5846

Running polya filter for radius = 1, bins = 64, delta = 140.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.741 | MSE = 1275.3461
Iteration 2 of 50 | Duration = 6.820 | MSE = 987.6604
Iteration 3 of 50 | Duration = 5.202 | MSE = 833.3826
Iteration 4 of 50 | Duration = 4.620 | MSE = 806.1943
Iteration 5 of 50 | Duration = 4.652 | MSE = 780.5380
Iteration 6 of 50 | Duration = 4.510 | MSE = 762.1225
Iteration 7 of 50 | Duration = 4.446 | MSE = 748.3863
Iteration 8 of 50 | Duration = 5.074 | MSE = 741.8304
Iteration 9 of 50 | Duration = 5.043 | MSE = 735.7612
Iteration 10 of 50 | Duration = 4.640 | MSE = 731.2724
Iteration 11 of 50 | Duration = 4.192 | MSE = 726.9961
Iteration 12 of 50 | Duration = 4.400 | MSE = 725.1177
Iteration 13 of 50 | Duration = 4.344 | MSE = 722.9044
Iteration 14 of 50 | Duration = 4.653 | MSE = 720.4999
Iteration 15 of 50 | Duration = 4.813 | MSE = 718.2369
Iteration 16 of 50 | Duration = 4.662 | MSE = 717.4885
Iteration 17 of 50 | Duration = 5.055 | MSE = 716.6107
Iteration 18 of 50 | Duration = 4.644 | MSE = 715.7209
Iteration 19 of 50 | Duration = 4.577 | MSE = 714.9494
Iteration 20 of 50 | Duration = 4.756 | MSE = 714.5200
New optimal MSE: 714.5200

Running polya filter for radius = 1, bins = 64, delta = 160.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.811 | MSE = 1275.3461
Iteration 2 of 50 | Duration = 6.129 | MSE = 987.6604
Iteration 3 of 50 | Duration = 5.146 | MSE = 837.8577
Iteration 4 of 50 | Duration = 4.955 | MSE = 794.1607
Iteration 5 of 50 | Duration = 4.649 | MSE = 774.6262
Iteration 6 of 50 | Duration = 4.471 | MSE = 759.0451
Iteration 7 of 50 | Duration = 4.261 | MSE = 744.3499
Iteration 8 of 50 | Duration = 4.231 | MSE = 737.5991
Iteration 9 of 50 | Duration = 4.923 | MSE = 732.6267
Iteration 10 of 50 | Duration = 5.404 | MSE = 729.0907
