Log Started on 08-Mar-2018

Adding Noise
Optimizing for goldengate_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2763.9872
Iteration 18 of 50 | Duration = 0.814 | MSE = 1339.8200
Iteration 19 of 50 | Duration = 0.785 | MSE = 1338.0958
Iteration 20 of 50 | Duration = 0.844 | MSE = 1337.3140
Iteration 21 of 50 | Duration = 0.893 | MSE = 1336.5137
Iteration 22 of 50 | Duration = 0.962 | MSE = 1335.1105
Iteration 23 of 50 | Duration = 0.908 | MSE = 1330.3425
Iteration 24 of 50 | Duration = 0.782 | MSE = 1326.5813
Iteration 25 of 50 | Duration = 0.798 | MSE = 1325.1408
Iteration 26 of 50 | Duration = 0.836 | MSE = 1323.3413
Iteration 27 of 50 | Duration = 0.906 | MSE = 1319.8745
Iteration 28 of 50 | Duration = 0.965 | MSE = 1316.5850
Iteration 29 of 50 | Duration = 0.878 | MSE = 1312.6006
Iteration 30 of 50 | Duration = 0.856 | MSE = 1305.0794
Iteration 31 of 50 | Duration = 0.817 | MSE = 1294.3273
Iteration 32 of 50 | Duration = 0.786 | MSE = 1293.2069
Iteration 33 of 50 | Duration = 0.839 | MSE = 1292.6769
Iteration 34 of 50 | Duration = 0.933 | MSE = 1292.1175
Iteration 35 of 50 | Duration = 0.796 | MSE = 1291.4266
Iteration 36 of 50 | Duration = 0.801 | MSE = 1290.8843
Iteration 37 of 50 | Duration = 0.796 | MSE = 1290.5617
New optimal MSE: 1290.5617

Running polya filter for radius = 1, bins = 32, delta = 200.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.012 | MSE = 1813.0571
Iteration 2 of 50 | Duration = 1.122 | MSE = 1711.2331
Iteration 3 of 50 | Duration = 0.875 | MSE = 1541.6253
Iteration 4 of 50 | Duration = 0.876 | MSE = 1524.0607
Iteration 5 of 50 | Duration = 0.890 | MSE = 1496.0471
Iteration 6 of 50 | Duration = 0.922 | MSE = 1460.2988
Iteration 7 of 50 | Duration = 0.857 | MSE = 1417.9388
Iteration 8 of 50 | Duration = 0.847 | MSE = 1413.4074
Iteration 9 of 50 | Duration = 0.939 | MSE = 1409.1583
Iteration 10 of 50 | Duration = 0.878 | MSE = 1406.3231
Iteration 11 of 50 | Duration = 0.804 | MSE = 1395.9154
Iteration 12 of 50 | Duration = 0.792 | MSE = 1388.2640
Iteration 13 of 50 | Duration = 0.838 | MSE = 1378.4008
Iteration 14 of 50 | Duration = 0.935 | MSE = 1364.3982
Iteration 15 of 50 | Duration = 0.847 | MSE = 1344.3631
Iteration 16 of 50 | Duration = 0.856 | MSE = 1342.5887
Iteration 17 of 50 | Duration = 0.895 | MSE = 1341.1854
Iteration 18 of 50 | Duration = 0.792 | MSE = 1339.8200
Iteration 19 of 50 | Duration = 0.831 | MSE = 1338.0958
Iteration 20 of 50 | Duration = 0.820 | MSE = 1337.3140
Iteration 21 of 50 | Duration = 0.863 | MSE = 1336.5137
Iteration 22 of 50 | Duration = 0.826 | MSE = 1335.1105
Iteration 23 of 50 | Duration = 0.903 | MSE = 1330.3425
Iteration 24 of 50 | Duration = 0.865 | MSE = 1326.5813
Iteration 25 of 50 | Duration = 0.801 | MSE = 1325.1408
Iteration 26 of 50 | Duration = 0.879 | MSE = 1323.3413
Iteration 27 of 50 | Duration = 0.862 | MSE = 1319.8745
Iteration 28 of 50 | Duration = 0.875 | MSE = 1316.5850
Iteration 29 of 50 | Duration = 0.843 | MSE = 1312.6006
Iteration 30 of 50 | Duration = 0.916 | MSE = 1305.0794
Iteration 31 of 50 | Duration = 0.869 | MSE = 1294.3273
Iteration 32 of 50 | Duration = 0.848 | MSE = 1293.2069
Iteration 33 of 50 | Duration = 0.886 | MSE = 1292.6769
Iteration 34 of 50 | Duration = 0.800 | MSE = 1292.1175
Iteration 35 of 50 | Duration = 0.816 | MSE = 1291.4266
Iteration 36 of 50 | Duration = 0.864 | MSE = 1290.8843
Iteration 37 of 50 | Duration = 0.915 | MSE = 1290.5617

Running polya filter for radius = 1, bins = 64, delta = 20.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.636 | MSE = 2742.8585
Iteration 2 of 50 | Duration = 1.499 | MSE = 2742.8585
Iteration 3 of 50 | Duration = 1.557 | MSE = 2742.8585

Running polya filter for radius = 1, bins = 64, delta = 40.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.704 | MSE = 2742.8585
Iteration 2 of 50 | Duration = 1.427 | MSE = 2742.8585
Iteration 3 of 50 | Duration = 1.417 | MSE = 1867.7714
Iteration 4 of 50 | Duration = 1.561 | MSE = 1829.6711
Iteration 5 of 50 | Duration = 1.440 | MSE = 1823.8891
Iteration 6 of 50 | Duration = 1.606 | MSE = 1682.5297
Iteration 7 of 50 | Duration = 1.543 | MSE = 1613.7254
Iteration 8 of 50 | Duration = 1.527 | MSE = 1605.2686
Iteration 9 of 50 | Duration = 1.456 | MSE = 1541.0020
Iteration 10 of 50 | Duration = 1.590 | MSE = 1539.3915
Iteration 11 of 50 | Duration = 1.496 | MSE = 1536.9898
Iteration 12 of 50 | Duration = 1.387 | MSE = 1536.0619
Iteration 13 of 50 | Duration = 1.441 | MSE = 1531.4152
Iteration 14 of 50 | Duration = 1.503 | MSE = 1520.5598
Iteration 15 of 50 | Duration = 1.476 | MSE = 1498.6757
Iteration 16 of 50 | Duration = 1.443 | MSE = 1486.3185
Iteration 17 of 50 | Duration = 1.514 | MSE = 1480.2531
Iteration 18 of 50 | Duration = 1.492 | MSE = 1462.0855
Iteration 19 of 50 | Duration = 1.484 | MSE = 1447.4802
Iteration 20 of 50 | Duration = 1.555 | MSE = 1445.8239
Iteration 21 of 50 | Duration = 1.441 | MSE = 1424.3154
Iteration 22 of 50 | Duration = 1.525 | MSE = 1423.2998
Iteration 23 of 50 | Duration = 1.557 | MSE = 1421.8349
Iteration 24 of 50 | Duration = 1.487 | MSE = 1420.6790
Iteration 25 of 50 | Duration = 1.483 | MSE = 1419.8767
Iteration 26 of 50 | Duration = 1.428 | MSE = 1418.3920
Iteration 27 of 50 | Duration = 1.664 | MSE = 1417.7521
Iteration 28 of 50 | Duration = 1.437 | MSE = 1417.2290
Iteration 29 of 50 | Duration = 1.472 | MSE = 1415.8884
Iteration 30 of 50 | Duration = 1.541 | MSE = 1413.8795
Iteration 31 of 50 | Duration = 1.572 | MSE = 1411.0520
Iteration 32 of 50 | Duration = 1.400 | MSE = 1410.0242
Iteration 33 of 50 | Duration = 1.509 | MSE = 1401.3899
Iteration 34 of 50 | Duration = 1.577 | MSE = 1394.4642
Iteration 35 of 50 | Duration = 1.536 | MSE = 1393.3688
Iteration 36 of 50 | Duration = 1.377 | MSE = 1392.9023

Running polya filter for radius = 1, bins = 64, delta = 60.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.748 | MSE = 2742.8585
Iteration 2 of 50 | Duration = 1.538 | MSE = 1867.7714
Iteration 3 of 50 | Duration = 1.403 | MSE = 1829.5645
Iteration 4 of 50 | Duration = 1.738 | MSE = 1677.8798
Iteration 5 of 50 | Duration = 1.517 | MSE = 1607.4712
Iteration 6 of 50 | Duration = 1.530 | MSE = 1543.8092
Iteration 7 of 50 | Duration = 1.447 | MSE = 1541.6568
Iteration 8 of 50 | Duration = 1.493 | MSE = 1537.0805
Iteration 9 of 50 | Duration = 1.426 | MSE = 1528.3103
Iteration 10 of 50 | Duration = 1.541 | MSE = 1502.5567
Iteration 11 of 50 | Duration = 1.490 | MSE = 1485.4853
